Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.368m/s, acc_y=-0.306m/s, acc_z=10.070m/s, gyrv_x=-0.350°/s, gyrv_y=-0.849°/s, gyrv_z=-0.534°/s, time=7500.159
acc_x=-0.352m/s, acc_y=-0.343m/s, acc_z=10.069m/s, gyrv_x=-0.096°/s, gyrv_y=-0.647°/s, gyrv_z=-0.289°/s, time=7500.160
acc_x=-0.358m/s, acc_y=-0.346m/s, acc_z=10.058m/s, gyrv_x=-0.044°/s, gyrv_y=-0.542°/s, gyrv_z=-0.280°/s, time=7500.161
acc_x=-0.352m/s, acc_y=-0.331m/s, acc_z=10.054m/s, gyrv_x=-0.175°/s, gyrv_y=-0.630°/s, gyrv_z=0.009°/s, time=7500.163
acc_x=-0.368m/s, acc_y=-0.357m/s, acc_z=10.051m/s, gyrv_x=-0.289°/s, gyrv_y=-0.534°/s, gyrv_z=0.105°/s, time=7500.164
acc_x=-0.375m/s, acc_y=-0.361m/s, acc_z=10.043m/s, gyrv_x=-0.245°/s, gyrv_y=-0.455°/s, gyrv_z=-0.087°/s, time=7500.165
acc_x=-0.373m/s, acc_y=-0.360m/s, acc_z=10.037m/s, gyrv_x=-0.289°/s, gyrv_y=-0.534°/s, gyrv_z=0.105°/s, time=7500.166
acc_x=-0.371m/s, acc_y=-0.344m/s, acc_z=10.046m/s, gyrv_x=-0.149°/s, gyrv_y=-0.472°/s, gyrv_z=-0.000°/s, time=7500.167
acc_x=-0.368m/s, acc_y=-0.364m/s, acc_z=10.046m/s, gyrv_x=-0.236°/s, gyrv_y=-0.429°/s, gyrv_z=-0.000°/s, time=7500.169
acc_x=-0.382m/s, acc_y=-0.372m/s, acc_z=10.051m/s, gyrv_x=-0.236°/s, gyrv_y=-0.429°/s, gyrv_z=-0.000°/s, time=7500.170
acc_x=-0.382m/s, acc_y=-0.399m/s, acc_z=10.051m/s, gyrv_x=0.175°/s, gyrv_y=-0.490°/s, gyrv_z=0.096°/s, time=7500.171
acc_x=-0.372m/s, acc_y=-0.327m/s, acc_z=10.067m/s, gyrv_x=0.175°/s, gyrv_y=-0.446°/s, gyrv_z=0.026°/s, time=7500.172
acc_x=-0.400m/s, acc_y=-0.372m/s, acc_z=10.068m/s, gyrv_x=-0.394°/s, gyrv_y=-0.367°/s, gyrv_z=-0.044°/s, time=7500.174
acc_x=-0.364m/s, acc_y=-0.360m/s, acc_z=10.075m/s, gyrv_x=-0.315°/s, gyrv_y=-0.411°/s, gyrv_z=0.359°/s, time=7500.175
acc_x=-0.361m/s, acc_y=-0.368m/s, acc_z=10.066m/s, gyrv_x=-0.341°/s, gyrv_y=-0.254°/s, gyrv_z=0.455°/s, time=7500.176
acc_x=-0.383m/s, acc_y=-0.389m/s, acc_z=10.073m/s, gyrv_x=-0.324°/s, gyrv_y=-0.149°/s, gyrv_z=0.044°/s, time=7500.177
acc_x=-0.408m/s, acc_y=-0.356m/s, acc_z=10.070m/s, gyrv_x=-0.219°/s, gyrv_y=-0.297°/s, gyrv_z=0.157°/s, time=7500.178
acc_x=-0.397m/s, acc_y=-0.354m/s, acc_z=10.076m/s, gyrv_x=-0.061°/s, gyrv_y=-0.262°/s, gyrv_z=0.254°/s, time=7500.180
acc_x=-0.407m/s, acc_y=-0.341m/s, acc_z=10.081m/s, gyrv_x=-0.306°/s, gyrv_y=-0.114°/s, gyrv_z=0.044°/s, time=7500.181
acc_x=-0.385m/s, acc_y=-0.341m/s, acc_z=10.065m/s, gyrv_x=-0.744°/s, gyrv_y=-0.114°/s, gyrv_z=0.262°/s, time=7500.182
