Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.001m/s, acc_y=0.339m/s, acc_z=-9.689m/s, gyrv_x=-0.219°/s, gyrv_y=-0.411°/s, gyrv_z=-0.096°/s, time=7412.041
acc_x=-0.011m/s, acc_y=0.382m/s, acc_z=-9.668m/s, gyrv_x=0.061°/s, gyrv_y=-0.376°/s, gyrv_z=0.035°/s, time=7412.042
acc_x=0.017m/s, acc_y=0.400m/s, acc_z=-9.666m/s, gyrv_x=-0.376°/s, gyrv_y=-0.490°/s, gyrv_z=0.105°/s, time=7412.044
acc_x=0.029m/s, acc_y=0.367m/s, acc_z=-9.678m/s, gyrv_x=-0.376°/s, gyrv_y=-0.490°/s, gyrv_z=0.105°/s, time=7412.045
acc_x=0.029m/s, acc_y=0.367m/s, acc_z=-9.678m/s, gyrv_x=-0.315°/s, gyrv_y=-0.446°/s, gyrv_z=-0.140°/s, time=7412.046
acc_x=0.005m/s, acc_y=0.402m/s, acc_z=-9.680m/s, gyrv_x=0.096°/s, gyrv_y=-0.437°/s, gyrv_z=0.236°/s, time=7412.047
acc_x=0.026m/s, acc_y=0.421m/s, acc_z=-9.686m/s, gyrv_x=-0.350°/s, gyrv_y=-0.586°/s, gyrv_z=0.105°/s, time=7412.048
acc_x=-0.008m/s, acc_y=0.395m/s, acc_z=-9.674m/s, gyrv_x=-0.149°/s, gyrv_y=-0.464°/s, gyrv_z=-0.044°/s, time=7412.050
acc_x=-0.014m/s, acc_y=0.363m/s, acc_z=-9.686m/s, gyrv_x=0.122°/s, gyrv_y=-0.385°/s, gyrv_z=0.149°/s, time=7412.051
acc_x=0.004m/s, acc_y=0.406m/s, acc_z=-9.685m/s, gyrv_x=-0.105°/s, gyrv_y=-0.577°/s, gyrv_z=0.210°/s, time=7412.052
acc_x=-0.009m/s, acc_y=0.372m/s, acc_z=-9.674m/s, gyrv_x=0.149°/s, gyrv_y=-0.324°/s, gyrv_z=0.157°/s, time=7412.053
acc_x=0.011m/s, acc_y=0.389m/s, acc_z=-9.702m/s, gyrv_x=-0.201°/s, gyrv_y=-0.402°/s, gyrv_z=-0.026°/s, time=7412.054
acc_x=-0.012m/s, acc_y=0.357m/s, acc_z=-9.696m/s, gyrv_x=-0.184°/s, gyrv_y=-0.367°/s, gyrv_z=0.009°/s, time=7412.056
acc_x=0.021m/s, acc_y=0.368m/s, acc_z=-9.694m/s, gyrv_x=-0.315°/s, gyrv_y=-0.394°/s, gyrv_z=-0.000°/s, time=7412.057
acc_x=0.017m/s, acc_y=0.334m/s, acc_z=-9.673m/s, gyrv_x=-0.402°/s, gyrv_y=-0.324°/s, gyrv_z=0.105°/s, time=7412.058
acc_x=0.007m/s, acc_y=0.403m/s, acc_z=-9.708m/s, gyrv_x=-0.341°/s, gyrv_y=-0.324°/s, gyrv_z=0.105°/s, time=7412.059
acc_x=0.007m/s, acc_y=0.403m/s, acc_z=-9.708m/s, gyrv_x=0.061°/s, gyrv_y=-0.385°/s, gyrv_z=0.184°/s, time=7412.060
acc_x=0.021m/s, acc_y=0.382m/s, acc_z=-9.693m/s, gyrv_x=0.061°/s, gyrv_y=-0.385°/s, gyrv_z=0.184°/s, time=7412.062
acc_x=0.022m/s, acc_y=0.403m/s, acc_z=-9.684m/s, gyrv_x=-0.009°/s, gyrv_y=-0.560°/s, gyrv_z=0.026°/s, time=7412.063
