Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=7.190m/s, acc_y=3.710m/s, acc_z=-6.524m/s, gyrv_x=53.664°/s, gyrv_y=-20.029°/s, gyrv_z=32.567°/s, time=7065.045
acc_x=5.478m/s, acc_y=-4.876m/s, acc_z=12.821m/s, gyrv_x=-37.739°/s, gyrv_y=32.305°/s, gyrv_z=-26.915°/s, time=7065.095
acc_x=3.669m/s, acc_y=-5.920m/s, acc_z=10.958m/s, gyrv_x=-19.285°/s, gyrv_y=-16.441°/s, gyrv_z=24.342°/s, time=7065.145
acc_x=0.342m/s, acc_y=0.003m/s, acc_z=9.571m/s, gyrv_x=86.634°/s, gyrv_y=30.642°/s, gyrv_z=-98.446°/s, time=7065.200
acc_x=-0.205m/s, acc_y=-5.311m/s, acc_z=11.443m/s, gyrv_x=95.112°/s, gyrv_y=-52.237°/s, gyrv_z=-162.155°/s, time=7065.259
acc_x=-2.672m/s, acc_y=2.362m/s, acc_z=12.779m/s, gyrv_x=75.749°/s, gyrv_y=-36.374°/s, gyrv_z=-169.452°/s, time=7065.320
acc_x=-0.248m/s, acc_y=1.765m/s, acc_z=9.058m/s, gyrv_x=63.717°/s, gyrv_y=32.970°/s, gyrv_z=9.747°/s, time=7065.384
acc_x=0.077m/s, acc_y=-2.173m/s, acc_z=9.156m/s, gyrv_x=103.381°/s, gyrv_y=-62.414°/s, gyrv_z=-83.799°/s, time=7065.440
acc_x=7.236m/s, acc_y=-2.463m/s, acc_z=4.592m/s, gyrv_x=94.447°/s, gyrv_y=-59.439°/s, gyrv_z=-170.021°/s, time=7065.500
acc_x=8.538m/s, acc_y=4.442m/s, acc_z=10.612m/s, gyrv_x=-45.176°/s, gyrv_y=-45.552°/s, gyrv_z=-139.833°/s, time=7065.561
acc_x=-6.189m/s, acc_y=3.657m/s, acc_z=12.434m/s, gyrv_x=76.510°/s, gyrv_y=-39.524°/s, gyrv_z=-100.765°/s, time=7065.618
acc_x=0.924m/s, acc_y=3.529m/s, acc_z=11.136m/s, gyrv_x=-31.080°/s, gyrv_y=26.311°/s, gyrv_z=-151.305°/s, time=7065.679
acc_x=1.598m/s, acc_y=-9.735m/s, acc_z=9.502m/s, gyrv_x=64.776°/s, gyrv_y=-22.942°/s, gyrv_z=-132.545°/s, time=7065.738
acc_x=4.488m/s, acc_y=-0.943m/s, acc_z=9.092m/s, gyrv_x=73.316°/s, gyrv_y=-41.431°/s, gyrv_z=-108.631°/s, time=7065.792
acc_x=-5.724m/s, acc_y=3.429m/s, acc_z=12.889m/s, gyrv_x=94.001°/s, gyrv_y=-62.886°/s, gyrv_z=-123.418°/s, time=7065.856
acc_x=11.993m/s, acc_y=7.099m/s, acc_z=10.939m/s, gyrv_x=97.186°/s, gyrv_y=-69.125°/s, gyrv_z=-142.852°/s, time=7065.916
acc_x=2.617m/s, acc_y=-7.022m/s, acc_z=4.828m/s, gyrv_x=60.392°/s, gyrv_y=-49.945°/s, gyrv_z=-141.697°/s, time=7065.976
